filepath,boxes
/content/face-images/2002/08/11/big/img_591.jpg,"[(0.59888889, 0.37888889, 0.39777778, 0.53555556)]"
/content/face-images/2002/08/26/big/img_265.jpg,"[(0.23333333, 0.35333333, 0.2, 0.29777778), (0.40777778, 0.44666667, 0.12222222, 0.18666667), (0.75666667, 0.42, 0.19777778, 0.31111111)]"
/content/face-images/2002/07/19/big/img_423.jpg,"[(0.56555556, 0.29555556, 0.26444444, 0.38666667)]"
/content/face-images/2002/08/24/big/img_490.jpg,"[(0.41111111, 0.17222222, 0.16, 0.24222222)]"
/content/face-images/2002/08/31/big/img_17676.jpg,"[(0.15888889, 0.08222222, 0.12666667, 0.16444444), (0.34444444, 0.20444444, 0.22222222, 0.35111111)]"
/content/face-images/2002/07/31/big/img_228.jpg,"[(0.27333333, 0.23777778, 0.14666667, 0.24444444), (0.69888889, 0.15444444, 0.16222222, 0.26444444)]"
/content/face-images/2002/07/24/big/img_402.jpg,"[(0.77222222, 0.27777778, 0.08666667, 0.11555556), (0.26666667, 0.41444444, 0.19111111, 0.34888889), (0.95555556, 0.28222222, 0.05333333, 0.07111111)]"
/content/face-images/2002/08/04/big/img_769.jpg,"[(0.33888889, 0.24222222, 0.30444444, 0.44444444), (0.68888889, 0.34666667, 0.23111111, 0.39555556)]"
/content/face-images/2002/07/19/big/img_581.jpg,"[(0.49111111, 0.42, 0.31111111, 0.45777778)]"
/content/face-images/2002/08/13/big/img_723.jpg,"[(0.49222222, 0.39333333, 0.39777778, 0.53777778)]"
/content/face-images/2002/08/12/big/img_821.jpg,"[(0.51555556, 0.44777778, 0.42666667, 0.64666667)]"
/content/face-images/2003/01/17/big/img_610.jpg,"[(0.48888889, 0.40444444, 0.25777778, 0.36), (0.13444444, 0.49666667, 0.18888889, 0.26), (0.87111111, 0.43666667, 0.2, 0.27777778), (0.39222222, 0.52, 0.16222222, 0.21333333), (0.72444444, 0.50777778, 0.12888889, 0.18444444), (0.16777778, 0.37444444, 0.16666667, 0.22888889)]"
/content/face-images/2002/08/13/big/img_1116.jpg,"[(0.45333333, 0.39222222, 0.24444444, 0.36666667), (0.83444444, 0.38666667, 0.04666667, 0.06222222)]"
/content/face-images/2002/08/28/big/img_19238.jpg,"[(0.19444444, 0.34, 0.18888889, 0.27555556), (0.81666667, 0.50111111, 0.19777778, 0.29555556)]"
/content/face-images/2002/08/21/big/img_660.jpg,"[(0.48555556, 0.33222222, 0.26888889, 0.41555556)]"
/content/face-images/2002/08/14/big/img_607.jpg,"[(0.50111111, 0.15888889, 0.18444444, 0.27333333)]"
/content/face-images/2002/08/05/big/img_3708.jpg,"[(0.32, 0.34111111, 0.32444444, 0.39777778), (0.78, 0.38555556, 0.25777778, 0.38444444)]"
/content/face-images/2002/08/19/big/img_511.jpg,"[(0.29222222, 0.37555556, 0.21111111, 0.33333333), (0.61555556, 0.33555556, 0.17777778, 0.25333333)]"
/content/face-images/2002/08/07/big/img_1316.jpg,"[(0.26111111, 0.30888889, 0.16666667, 0.25333333), (0.73444444, 0.46666667, 0.19777778, 0.28)]"
/content/face-images/2002/07/25/big/img_1047.jpg,"[(0.21111111, 0.19333333, 0.53777778, 0.82222222), (0.63555556, 0.46777778, 0.45333333, 0.72222222)]"
/content/face-images/2002/07/23/big/img_474.jpg,"[(0.49444444, 0.22777778, 0.26444444, 0.39777778), (0.75, 0.28, 0.21111111, 0.34666667)]"
/content/face-images/2002/07/27/big/img_970.jpg,"[(0.31444444, 0.33555556, 0.20222222, 0.26666667), (0.77333333, 0.35111111, 0.20888889, 0.28)]"
/content/face-images/2002/09/02/big/img_15752.jpg,"[(0.50333333, 0.32555556, 0.24222222, 0.34888889)]"
/content/face-images/2002/09/01/big/img_16378.jpg,"[(0.22444444, 0.53, 0.25777778, 0.30444444), (0.47888889, 0.42, 0.22444444, 0.36), (0.74444444, 0.59555556, 0.31555556, 0.29777778)]"
/content/face-images/2002/09/01/big/img_16189.jpg,"[(0.56, 0.27, 0.20888889, 0.34)]"
/content/face-images/2002/08/26/big/img_276.jpg,"[(0.51333333, 0.33666667, 0.30666667, 0.5)]"
/content/face-images/2002/07/24/big/img_518.jpg,"[(0.34333333, 0.28666667, 0.26888889, 0.40444444), (0.65333333, 0.29333333, 0.26222222, 0.37777778)]"
/content/face-images/2002/08/14/big/img_1027.jpg,"[(0.20666667, 0.14777778, 0.2, 0.27333333), (0.47333333, 0.37444444, 0.20888889, 0.29111111)]"
/content/face-images/2002/08/24/big/img_733.jpg,"[(0.57222222, 0.31666667, 0.33111111, 0.52666667)]"
/content/face-images/2002/08/15/big/img_249.jpg,"[(0.54111111, 0.23888889, 0.25555556, 0.36666667)]"
/content/face-images/2003/01/15/big/img_1371.jpg,"[(0.48666667, 0.41666667, 0.49333333, 0.67333333)]"
/content/face-images/2002/08/07/big/img_1348.jpg,"[(0.52444444, 0.38444444, 0.22222222, 0.32), (0.86222222, 0.33777778, 0.16, 0.23555556), (0.96777778, 0.25777778, 0.08222222, 0.12444444)]"
/content/face-images/2003/01/01/big/img_331.jpg,"[(0.47111111, 0.21333333, 0.25777778, 0.36888889), (0.25555556, 0.35555556, 0.21777778, 0.33777778)]"
/content/face-images/2002/08/23/big/img_536.jpg,"[(0.50111111, 0.44888889, 0.46, 0.72888889)]"
/content/face-images/2002/07/30/big/img_224.jpg,"[(0.69111111, 0.33111111, 0.17333333, 0.26666667)]"
/content/face-images/2002/08/10/big/img_763.jpg,"[(0.48777778, 0.43555556, 0.69111111, 0.92)]"
/content/face-images/2002/08/21/big/img_293.jpg,"[(0.40888889, 0.44333333, 0.29333333, 0.43777778)]"
/content/face-images/2002/08/15/big/img_1211.jpg,"[(0.29888889, 0.39888889, 0.26444444, 0.39333333)]"
/content/face-images/2002/08/15/big/img_1194.jpg,"[(0.53777778, 0.15333333, 0.18666667, 0.26666667), (0.36777778, 0.01777778, 0.11777778, 0.17777778)]"
/content/face-images/2003/01/15/big/img_390.jpg,"[(0.81666667, 0.40666667, 0.25111111, 0.40444444), (0.36888889, 0.41444444, 0.28444444, 0.39777778)]"
/content/face-images/2002/08/06/big/img_2893.jpg,"[(0.57444444, 0.22, 0.18444444, 0.28444444)]"
/content/face-images/2002/08/17/big/img_691.jpg,"[(0.17777778, 0.33666667, 0.17777778, 0.24222222), (0.47777778, 0.40555556, 0.16888889, 0.26), (0.53222222, 0.26222222, 0.13111111, 0.18666667), (0.28, 0.22777778, 0.12, 0.16222222), (0.17222222, 0.18333333, 0.14444444, 0.21111111), (0.62333333, 0.34, 0.14444444, 0.2), (0.40777778, 0.41111111, 0.14444444, 0.2)]"
/content/face-images/2002/08/07/big/img_1695.jpg,"[(0.48333333, 0.24222222, 0.20222222, 0.32)]"
/content/face-images/2002/08/16/big/img_829.jpg,"[(0.49666667, 0.25333333, 0.23777778, 0.39555556)]"
/content/face-images/2002/07/25/big/img_201.jpg,"[(0.5, 0.22777778, 0.20444444, 0.34444444)]"
/content/face-images/2002/08/23/big/img_36.jpg,"[(0.51333333, 0.50666667, 0.15555556, 0.22222222)]"
/content/face-images/2003/01/15/big/img_763.jpg,"[(0.51444444, 0.30111111, 0.24666667, 0.37555556)]"
/content/face-images/2003/01/15/big/img_637.jpg,"[(0.48666667, 0.52888889, 0.24444444, 0.39555556)]"
/content/face-images/2002/08/22/big/img_592.jpg,"[(0.52333333, 0.28555556, 0.30888889, 0.52222222)]"
/content/face-images/2002/07/25/big/img_817.jpg,"[(0.37444444, 0.45444444, 0.15777778, 0.22), (0.75555556, 0.59333333, 0.16, 0.23555556)]"
/content/face-images/2003/01/15/big/img_1219.jpg,"[(0.49333333, 0.35444444, 0.18666667, 0.28222222)]"
/content/face-images/2002/08/05/big/img_3508.jpg,"[(0.45555556, 0.20666667, 0.19111111, 0.30666667)]"
/content/face-images/2002/08/15/big/img_1108.jpg,"[(0.47111111, 0.53666667, 0.53777778, 0.78888889)]"
/content/face-images/2002/07/19/big/img_488.jpg,"[(0.30222222, 0.50777778, 0.24, 0.31333333), (0.61444444, 0.35222222, 0.29111111, 0.38444444)]"
/content/face-images/2003/01/16/big/img_704.jpg,"[(0.39666667, 0.31444444, 0.20222222, 0.33111111)]"
/content/face-images/2003/01/13/big/img_1087.jpg,"[(0.50444444, 0.27111111, 0.19555556, 0.29333333)]"
/content/face-images/2002/08/10/big/img_670.jpg,"[(0.44111111, 0.30666667, 0.31777778, 0.47111111)]"
/content/face-images/2002/07/24/big/img_104.jpg,"[(0.47111111, 0.47888889, 0.55111111, 0.87333333)]"
/content/face-images/2002/08/27/big/img_19823.jpg,"[(0.72, 0.34666667, 0.17333333, 0.28444444)]"
/content/face-images/2002/09/01/big/img_16229.jpg,"[(0.39111111, 0.3, 0.29777778, 0.46666667), (0.64888889, 0.45444444, 0.25777778, 0.34444444)]"
/content/face-images/2003/01/13/big/img_846.jpg,"[(0.48333333, 0.38444444, 0.32666667, 0.51111111)]"
/content/face-images/2002/08/04/big/img_412.jpg,"[(0.52, 0.71666667, 0.17333333, 0.28222222)]"
/content/face-images/2002/07/22/big/img_554.jpg,"[(0.12222222, 0.26111111, 0.12888889, 0.18888889), (0.47666667, 0.30888889, 0.14444444, 0.20444444), (0.82555556, 0.28111111, 0.14444444, 0.20666667), (0.94111111, 0.60444444, 0.12666667, 0.19555556), (0.73, 0.30888889, 0.13111111, 0.17777778), (0.61666667, 0.22222222, 0.10888889, 0.15555556), (0.91333333, 0.22222222, 0.09333333, 0.13333333)]"
/content/face-images/2002/08/12/big/img_331.jpg,"[(0.25, 0.11, 0.15777778, 0.24666667), (0.55666667, 0.24666667, 0.08666667, 0.12), (0.72333333, 0.15555556, 0.10444444, 0.15111111), (0.73555556, 0.42888889, 0.09333333, 0.14222222)]"
